"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1",-0.310809276511046,-0.508629383947108,-0.470548827624768,"weibull",2,100
"2",-0.167671024610359,-0.25328817978362,-0.223420957758051,"weibull",2,100
"3",-0.0940686245306028,-0.148317369637201,-0.134655085679556,"weibull",2,100
"4",-0.492859062205402,-0.789135250488048,-0.709038382922665,"weibull",2,100
"5",-0.31254586002731,-0.411256615944945,-0.430135774615821,"weibull",2,100
"6",-0.480273090575377,-0.735039690848766,-0.780774255635107,"weibull",2,100
"7",-0.484692639034436,-0.667584203815382,-0.664061157593024,"weibull",2,100
"8",-0.538777248918295,-0.812749819295273,-0.797988075421236,"weibull",2,100
"9",-0.36785018864802,-0.457210675814194,-0.454674434879581,"weibull",2,100
"10",-0.269146522994516,-0.369545704097438,-0.351273741827884,"weibull",2,100
"11",-0.154907177853123,-0.202393548613198,-0.186070238677269,"weibull",2,100
"12",-0.547453846208673,-0.766907441209725,-0.807929099290453,"weibull",2,100
"13",-0.0932437538495798,-0.137662694383117,-0.155023219391922,"weibull",2,100
"14",-0.10735263148653,-0.144518848944704,-0.140346842736881,"weibull",2,100
"15",-0.411050696926241,-0.576455445267063,-0.57282940733225,"weibull",2,100
"16",-0.276869445150603,-0.445792091943132,-0.453336869952814,"weibull",2,100
"17",-0.62226464871038,-0.883316759329434,-0.878718394967971,"weibull",2,100
"18",-0.599825952930431,-0.843711056772781,-0.79412836409884,"weibull",2,100
"19",-0.515628074951463,-0.770077746723839,-0.738077010148962,"weibull",2,100
"20",-0.303789547778793,-0.387899500086452,-0.373492552156736,"weibull",2,100
"21",-0.473697774808872,-0.611561707960971,-0.627358440655647,"weibull",2,100
"22",-0.065593820295832,-0.0962601872220257,-0.113787812982154,"weibull",2,100
"23",-0.72937442519146,-1.02295091352884,-1.01438241025425,"weibull",2,100
"24",-0.0703457425873141,-0.107265769099922,-0.0894120542168179,"weibull",2,100
"25",-0.236752548012258,-0.350843701353474,-0.356411987290558,"weibull",2,100
"26",-0.251683768419926,-0.353827132321825,-0.325546412016709,"weibull",2,100
"27",-0.368048526824655,-0.544324897058248,-0.559520689548156,"weibull",2,100
"28",-0.216143596277381,-0.315335155744337,-0.323161723355159,"weibull",2,100
"29",-0.606721447755557,-0.793133342357271,-0.77134222220391,"weibull",2,100
"30",-0.446028931662165,-0.709226421086282,-0.722590897490226,"weibull",2,100
"31",-0.65063245183859,-0.913413509595496,-0.861140694646663,"weibull",2,100
"32",-0.346979224767401,-0.519969010386576,-0.510022438374478,"weibull",2,100
"33",-0.5076704824983,-0.781613887846682,-0.744940192878942,"weibull",2,100
"34",-0.444522351485762,-0.633786768536296,-0.660506703195734,"weibull",2,100
"35",-0.499773972183957,-0.65816379269645,-0.651901304391568,"weibull",2,100
"36",-0.345473826823262,-0.433540383205761,-0.454190729871974,"weibull",2,100
"37",-0.338225610859163,-0.569629909179147,-0.568970019043917,"weibull",2,100
"38",-0.356282434859294,-0.527682839753869,-0.524136510328257,"weibull",2,100
"39",-0.260634383340458,-0.39729647541642,-0.399641675195109,"weibull",2,100
"40",-0.63956664936745,-0.818629154087152,-0.832701947576978,"weibull",2,100
"41",-0.252582343631705,-0.314029234102769,-0.306119713751,"weibull",2,100
"42",-0.512712562700079,-0.767399945683131,-0.771610090200197,"weibull",2,100
"43",-0.550613451097967,-0.770280872568613,-0.75573647653747,"weibull",2,100
"44",-0.5635129738103,-0.764100685947238,-0.740575345726735,"weibull",2,100
"45",-0.839863053854509,-1.16691213734301,-1.22441960745483,"weibull",2,100
"46",-0.129301199283469,-0.207722068737702,-0.191292208428133,"weibull",2,100
"47",-0.561051579254826,-0.80842579117287,-0.798007302800899,"weibull",2,100
"48",-0.281774182197017,-0.459989637214982,-0.427205778575888,"weibull",2,100
"49",-0.450970823184992,-0.587349803740884,-0.572662045181808,"weibull",2,100
"50",-0.248160135698564,-0.380046441312435,-0.377189115463957,"weibull",2,100
