"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1",-0.539832045332235,-0.645872653227259,-0.1987217829768,"lnorm",NA,100
"2",-0.511933636218349,-0.609738049173819,-0.214089517605489,"lnorm",NA,100
"3",-0.493885336159836,-0.608206944413379,-0.658904089934865,"lnorm",NA,100
"4",-0.415083101440414,-0.504693048313675,-0.356639170955577,"lnorm",NA,100
"5",-0.399609818298917,-0.482846081237848,-0.702224642768907,"lnorm",NA,100
"6",-0.452572285677154,-0.55022607837267,-0.431687018187977,"lnorm",NA,100
"7",-0.574156932008821,-0.678090746698605,-0.194458524748934,"lnorm",NA,100
"8",-0.377908530626228,-0.513880496663129,-0.652927996329572,"lnorm",NA,100
"9",-0.450951933316732,-0.563324093771572,-0.806120928868631,"lnorm",NA,100
"10",-0.506751749585841,-0.58267732364127,-0.440010453913857,"lnorm",NA,100
"11",-0.436822306036904,-0.49581567554745,-0.774874708681966,"lnorm",NA,100
"12",-0.520554230473851,-0.64246423084746,-0.282147414657536,"lnorm",NA,100
"13",-0.402418900552467,-0.467073958708524,-0.782230228927483,"lnorm",NA,100
"14",-0.548851535491742,-0.632923340772577,-0.803210354882199,"lnorm",NA,100
"15",-0.552889976237739,-0.678705709254075,-0.290436632612591,"lnorm",NA,100
"16",-0.515045780125593,-0.633658169921962,-0.33356837195292,"lnorm",NA,100
"17",-0.573538361553088,-0.692014575641453,-0.180403168742947,"lnorm",NA,100
"18",-0.425530016046561,-0.546550956888599,-0.725406943917741,"lnorm",NA,100
"19",-0.481308038477609,-0.597662021771452,-0.107859022491356,"lnorm",NA,100
"20",-0.467255991460691,-0.561711517055033,-0.924147799473169,"lnorm",NA,100
"21",-0.402183106807254,-0.463430884636703,-0.796078675600215,"lnorm",NA,100
"22",-0.502827222861118,-0.613448784025213,-0.532383985814587,"lnorm",NA,100
"23",-0.505729760097472,-0.63108775838899,-0.183968437464615,"lnorm",NA,100
"24",-0.553246998615072,-0.674467349677711,-0.347482804996466,"lnorm",NA,100
"25",-0.43270969619024,-0.570109359729755,-0.391487597041745,"lnorm",NA,100
"26",-0.415604396636453,-0.477631201837433,-0.604416161365556,"lnorm",NA,100
"27",-0.566468821714529,-0.653077515349156,-0.365844275954277,"lnorm",NA,100
"28",-0.440164347283921,-0.522721901784496,-0.455764490197128,"lnorm",NA,100
"29",-0.48442512549932,-0.608026496215921,-0.482746370023122,"lnorm",NA,100
