"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1",-0.235535855197432,-0.206515828019796,-0.1987217829768,"piecewise",NA,100
"2",-0.199315870442823,-0.182671599020406,-0.214089517605489,"piecewise",NA,100
"3",-0.712420043996372,-0.626019802577203,-0.658904089934865,"piecewise",NA,100
"4",-0.416862836789564,-0.381106861674995,-0.356639170955577,"piecewise",NA,100
"5",-0.856324040564889,-0.760906046759429,-0.702224642768907,"piecewise",NA,100
"6",-0.485526444887501,-0.426910111152371,-0.431687018187977,"piecewise",NA,100
"7",-0.403152635987044,-0.378393562200356,-0.194458524748934,"piecewise",NA,100
"8",-0.785105071815813,-0.739178280946743,-0.652927996329572,"piecewise",NA,100
"9",-0.871142128907367,-0.820158901705639,-0.806120928868631,"piecewise",NA,100
"10",-0.532616101216157,-0.490666693804881,-0.440010453913857,"piecewise",NA,100
"11",-0.864717345696255,-0.878454488118503,-0.774874708681966,"piecewise",NA,100
"12",-0.298868833431142,-0.260993963440496,-0.282147414657536,"piecewise",NA,100
"13",-0.920937619896096,-0.784257328116421,-0.782230228927483,"piecewise",NA,100
"14",-0.768704168115234,-0.736105731895553,-0.803210354882199,"piecewise",NA,100
"15",-0.345135634576296,-0.327092431386938,-0.290436632612591,"piecewise",NA,100
"16",-0.455343437633399,-0.408735255146764,-0.33356837195292,"piecewise",NA,100
"17",-0.174557929102007,-0.153196475671294,-0.180403168742947,"piecewise",NA,100
"18",-0.798661462075628,-0.736952900672347,-0.727765028526053,"piecewise",NA,100
"19",-0.125370120737888,-0.118343169140201,-0.107859022491356,"piecewise",NA,100
"20",-0.87457292108613,-0.949096427472102,-0.924147799473169,"piecewise",NA,100
"21",-0.938162043483763,-0.867354631027651,-0.796078675600215,"piecewise",NA,100
"22",-0.474012782097246,-0.492628430404232,-0.532383985814587,"piecewise",NA,100
"23",-0.213751101454328,-0.190244032942326,-0.183968437464615,"piecewise",NA,100
"24",-0.401353607751828,-0.367772636785917,-0.347482804996466,"piecewise",NA,100
"25",-0.518789329761656,-0.446008182103568,-0.391487597041745,"piecewise",NA,100
"26",-0.728829191091125,-0.680755153907078,-0.604416161365556,"piecewise",NA,100
"27",-0.408647386319501,-0.324478799077045,-0.365844275954277,"piecewise",NA,100
"28",-0.668731481264189,-0.582284980491911,-0.455764490197128,"piecewise",NA,100
"29",-0.71051956560665,-0.583015415293606,-0.482746370023122,"piecewise",NA,100
"30",-0.794982272705481,-0.701378141342014,-0.687554870166546,"piecewise",NA,100
"31",-0.468806844864345,-0.369651963365075,-0.36546135063732,"piecewise",NA,100
"32",-0.652548354687319,-0.633856851724017,-0.622628165182051,"piecewise",NA,100
"33",-0.549947723163407,-0.472539215715967,-0.47660772065498,"piecewise",NA,100
"34",-0.877167271012639,-0.866543125563988,-0.7407076086153,"piecewise",NA,100
"35",-0.651026883729945,-0.545075403513763,-0.507358892761128,"piecewise",NA,100
"36",-0.57901780968837,-0.49969362954007,-0.48971380649841,"piecewise",NA,100
"37",-0.294413730818439,-0.244572908301931,-0.27104678397547,"piecewise",NA,100
"38",-0.610993169904856,-0.552857678192342,-0.500692888303892,"piecewise",NA,100
"39",-0.475355427314529,-0.429895461441902,-0.480363636811844,"piecewise",NA,100
"40",-0.721767254554655,-0.654501444579506,-0.589039429195567,"piecewise",NA,100
"41",-0.205504180370824,-0.168603437015756,-0.143661469997233,"piecewise",NA,100
"42",-0.430709917723674,-0.396760989902464,-0.41064316269743,"piecewise",NA,100
"43",-0.711410419087301,-0.69389884262224,-0.669487285501883,"piecewise",NA,100
"44",-0.798635350987215,-0.715115778052228,-0.691971325385195,"piecewise",NA,100
"45",-0.338401377813704,-0.292602304562363,-0.23315827068794,"piecewise",NA,100
"46",-0.526120042828464,-0.485684995169473,-0.482219067503947,"piecewise",NA,100
"47",-0.773114867336978,-0.645772262903581,-0.572588279516397,"piecewise",NA,100
"48",-0.374229674133126,-0.327421226939984,-0.328537833522052,"piecewise",NA,100
"49",-0.570804334253348,-0.457630578019572,-0.524815166927416,"piecewise",NA,100
"50",-0.327518490306823,-0.280595243231109,-0.260064512043056,"piecewise",NA,100
"51",-0.789223005379565,-0.70679657553418,-0.755566600371978,"piecewise",NA,100
"52",-0.593452696044359,-0.588252382514952,-0.516316004013756,"piecewise",NA,100
"53",-0.592426403794878,-0.532887297777792,-0.504378868078205,"piecewise",NA,100
"54",-0.693448057813601,-0.60403968466921,-0.522369445014575,"piecewise",NA,100
"55",-0.463864307696624,-0.406913249947399,-0.403257332277917,"piecewise",NA,100
"56",-0.737570694460981,-0.75138318016353,-0.822011456403408,"piecewise",NA,100
"57",-0.871469137045845,-0.761289357778527,-0.714078710275022,"piecewise",NA,100
"58",-0.688957187636843,-0.626383369853792,-0.600131462822463,"piecewise",NA,100
"59",-0.463269471590301,-0.466532656252505,-0.373495616071915,"piecewise",NA,100
"60",-0.759181111460842,-0.588222417300821,-0.511117204478856,"piecewise",NA,100
